accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Ground_Truth
0,11/29/2023,5:00,AM,"LONG BEACH, LOS ANGELES",The subject Mercedes-Benz had the L2 system engaged and was stationary in slow moving traffic for approximately 3 seconds on the 405 S near the Bellflower exit when it was lightly struck in the rear bumper by a Lexus driven at approximately 5 mph. ,No,MERCEDES-BENZ,S580,2022,No,,LEXUS,2016,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_b_1, lighting_b_2","roadway_a_1, roadway_a_2","other_a_no, other_d","left_rear_1, rear_bumper, right_rear_1",MINOR,vehicle_2_model at fault
1,11/27/2023,6:00,AM,"Inglewood, nan","On Monday, November 27th, a Nuro Prius operating in manual mode was exiting a garage to begin the work day. At the same time, a Nuro employee was exiting their personal vehicle in the alley behind the garage. The Nuro Prius made contact with the open door of the employee's personal vehicle. No injuries were reported. The employee's personal vehicle had minor damage to the door.",No,Toyota,Prius,2022,Yes,,Mazda MX-5 Miata RF,2019,No,weather_a_1,Not specified,lighting_b_1,Not specified,other_k,front_driver_side_3,MINOR,Nuro Employees fault 
2,11/22/2023,7:59,AM,"Los Angeles, Los Angeles","On November 22, 2023 at 7:59 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a passenger vehicle on West 7th Street at South Park View Street.The Waymo AV was stopped for a red light facing southeast on West 7th Street at South Park View Street when a passenger vehicle approached from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage.",Yes,Jaguar,I-Pace,2021,No,,Toyota Corolla,2013,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper, right_rear_1",UNK,vehicle_2_model at fault
3,11/3/2023,3:44,AM,"San Francisco, San Francisco","On November 3, 2023 at 3:44 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on 3rd Street at Stevenson Street.The Waymo AV was stopped in the rightmost non-HOV lane on northbound 3rd Street waiting for the intersection at Stevenson Street to clear during a green light. The passenger car behind the Waymo AV was rear-ended by a pickup truck, causing the front of the passenger car to make contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). All three vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,No,,Toyota Prius,2017,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper, right_rear_1",MINOR,vehicle_2_model at fault
4,10/27/2023,1:29,AM,"Santa Monica, Los Angeles","A Cruise autonomous vehicle (“AV”), operating in supervised autonomous mode, was traveling northbound in an alleyway between 26th Street and Princeton Street. As the AV approached the intersection with another alleyway, a Mitsubishi Outlander traveling westbound on a perpendicular alleyway entered the intersection. In response, the Cruise AV operator disengaged from autonomous into manual mode and braked, but shortly thereafter, the AV made contact with the Mitsubishi Outlander, damaging the AV’s front passenger side bumper fascia. The parties exchanged information and there were no reported injuries.",No,Cruise,AV,2022,Yes,,Outlander,2020,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"right_front_corner_2, front_bumper, right_front_corner_3",MINOR,More Investigation required
5,10/26/2023,7:48,AM,"San Francisco, San Francisco","On October 26, 2023 at 7:48 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on 13th Street near Bernice Street. The Waymo AV was traveling westbound on 13th Street in the rightmost lane. As the SUV in the left adjacent lane traveling alongside the Waymo AV initiated a right lane change, the front passenger’s side of the SUV made contact with the front driver’s side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged as the test driver transitioned the Waymo AV to manual mode just before the contact. Both vehicles sustained damage. ",No,Jaguar,I-Pace,2021,Yes,,Mercedes-Benz GLS 450   ,2017,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_front_corner_3,MINOR,vehicle_2_model at fault
6,10/23/2023,5:06,AM,"Santa Clara, Santa Clara","On October 23rd, a test vehicle operating in manual driving mode was stopped at a red light in the righthand lane of Lawrence Expressway at the intersection with Kifer Road in Santa Clara.  A Lexus RX300 attempted to pass through traffic in the adjacent bike lane, and made contact with the test vehicle’s side mirror. No injuries were reported and law enforcement was not called to the scene. The test vehicle sustained minor damage.",No,Lexus,RX 450h,2016,No,,Lexus RX 300,2000,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_k,front_passenger_side_4,MINOR,vehicle_2_model at fault
7,10/17/2023,9:24,AM,"San Francisco, San Francisco","On October 17, 2023 at 9:24 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a cyclist on Market Street at Gough Street. The Waymo AV was in autonomous mode on eastbound Market Street preparing to make a right turn onto southbound Gough Street and had stopped to yield, first for pedestrians to cross Gough Street and then for a cyclist approaching from behind traveling eastbound on the sidewalk of Market Street. As the pedestrians finished crossing Gough Street but before the cyclist had reached Gough Street, the Waymo AV test driver took manual control of the Waymo AV and began to accelerate and perform the right turn onto Gough Street. After the Waymo AV entered the crosswalk, the cyclist entered the crosswalk and made contact with the passenger’s rear quarter panel of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage.",No,Jaguar,I-Pace,2021,Yes,,,,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_rear_3,MINOR,Autonomous Vehicle Driver
8,10/16/2023,12:02,PM,"San Francisco, San Francisco","An Apollo autonomous vehicle (“AV”) was traveling westbound on Ortega Street in San Francisco in conventional mode with a safety operator driving. At the intersection with 46th Ave.,  the right front of the AV made contact with the curb and the AV traveled onto the curb. The safety operator was able to drive off the curb and back onto the street.  No other vehicles or property were involved. There were no injuries and the police were not called. The AV sustained minor damage to right wheel fender shield and the right lower bumper.",No,Lincoln,MKZ Hybrid,2016,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,other_k,"right_front_corner_2, right_front_corner_3",MINOR,Autonomous Vehicle Driver
9,10/13/2023,1:52,AM,"San Jose, Santa Clara","On October 13th, a test vehicle operating with the automated driving system engaged was traveling Northbound on Interstate 880 in San Jose. The safety driver disengaged just prior to running over a piece of sheet metal in the road. No injuries were reported and law enforcement was not called to the scene. The vehicle sustained minor damage.",No,Lexus,RX 450h,2016,Yes,,,,No,weather_b_1,road_conditions_g_1,lighting_a_1,roadway_a_1,other_k,"rear_bumper, right_front_corner_3, front_passenger_side_1, right_front_corner_1",MINOR,Road Condition
